context,question,answer
"CREATE TABLE table_name_50 (venue VARCHAR, away_team VARCHAR)",When Essendon played away; where did they play?,"SELECT venue FROM table_name_50 WHERE away_team = ""essendon"""
"CREATE TABLE table_name_61 (game INTEGER, opponent VARCHAR, record VARCHAR)",What is the lowest numbered game against Phoenix with a record of 29-17?,"SELECT MIN(game) FROM table_name_61 WHERE opponent = ""phoenix"" AND record = ""29-17"""
"CREATE TABLE table_name_37 (opponent VARCHAR, week VARCHAR)",Who did the Texan's play on Week 4?,"SELECT opponent FROM table_name_37 WHERE week = ""4"""
"CREATE TABLE table_name_70 (points INTEGER, touchdowns VARCHAR, extra_points VARCHAR)","Which Points have Touchdowns larger than 0, and an Extra points smaller than 0?",SELECT SUM(points) FROM table_name_70 WHERE touchdowns > 0 AND extra_points < 0
"CREATE TABLE table_name_83 (name VARCHAR, moving_to VARCHAR, nat VARCHAR, transfer_window VARCHAR)",What is the name of the player who is Sco and moving to greenock morton in the summer?,"SELECT name FROM table_name_83 WHERE nat = ""sco"" AND transfer_window = ""summer"" AND moving_to = ""greenock morton"""
"CREATE TABLE votes (contestant_number VARCHAR); CREATE TABLE contestants (contestant_number VARCHAR, contestant_name VARCHAR)","Of all the contestants who got voted, what is the contestant number and name of the contestant who got least votes?","SELECT T1.contestant_number, T1.contestant_name FROM contestants AS T1 JOIN votes AS T2 ON T1.contestant_number = T2.contestant_number GROUP BY T1.contestant_number ORDER BY COUNT(*) LIMIT 1"
"CREATE TABLE table_name_50 (venue VARCHAR, result VARCHAR)",Which venue had the result 7-1?,"SELECT venue FROM table_name_50 WHERE result = ""7-1"""
CREATE TABLE table_name_22 (Id VARCHAR),What did the tournament that got an A in 1945 get in 1949?,"SELECT 1949 FROM table_name_22 WHERE 1945 = ""a"""
"CREATE TABLE college (state VARCHAR, enr INTEGER)",Find the states where have the colleges whose enrollments are less than the largest size.,SELECT DISTINCT state FROM college WHERE enr < (SELECT MAX(enr) FROM college)
"CREATE TABLE table_24648983_1 (title VARCHAR, us_viewers__million_ VARCHAR)",What is the name of the episode that had 9.89 million U.S. viewers?,"SELECT title FROM table_24648983_1 WHERE us_viewers__million_ = ""9.89"""
"CREATE TABLE Bookings (Workshop_Group_ID VARCHAR, Status_Code VARCHAR); CREATE TABLE Drama_Workshop_Groups (Store_Name VARCHAR, Workshop_Group_ID VARCHAR)","What are the names of the workshop groups that have bookings with status code ""stop""?","SELECT T2.Store_Name FROM Bookings AS T1 JOIN Drama_Workshop_Groups AS T2 ON T1.Workshop_Group_ID = T2.Workshop_Group_ID WHERE T1.Status_Code = ""stop"""
"CREATE TABLE table_name_96 (location VARCHAR, opponenent VARCHAR)",Where was the opponent Germany?,"SELECT location FROM table_name_96 WHERE opponenent = ""germany"""
"CREATE TABLE table_1342149_24 (candidates VARCHAR, result VARCHAR)",Name the candidates for result of lost renomination democratic loss,"SELECT candidates FROM table_1342149_24 WHERE result = ""Lost renomination Democratic loss"""
"CREATE TABLE table_1341930_5 (party VARCHAR, district VARCHAR)",What is the number of party in the arkansas 1 district,"SELECT COUNT(party) FROM table_1341930_5 WHERE district = ""Arkansas 1"""
"CREATE TABLE table_12141496_1 (alt_name VARCHAR, id VARCHAR)",How many alt names does 1964-011a have?,"SELECT COUNT(alt_name) FROM table_12141496_1 WHERE id = ""1964-011A"""
"CREATE TABLE table_name_66 (opponent VARCHAR, date VARCHAR)","Who is the opponent of the game played on November 20, 1995?","SELECT opponent FROM table_name_66 WHERE date = ""november 20, 1995"""
"CREATE TABLE table_16331025_2 (tickets_sold___available VARCHAR, sellout___percentage_ VARCHAR)",What is the position of tickets sold/available when the sellout is 82%?,"SELECT COUNT(tickets_sold___available) FROM table_16331025_2 WHERE sellout___percentage_ = ""82%"""
"CREATE TABLE table_name_98 (college_junior_club_team__league_ VARCHAR, round VARCHAR)",Which College/Junior/Club Team (League) did the player in round 6 play for?,"SELECT college_junior_club_team__league_ FROM table_name_98 WHERE round = ""6"""
"CREATE TABLE table_name_94 (introduced INTEGER, retired VARCHAR, manufacturer VARCHAR, quantity VARCHAR)","How many in the introduced section had Fokker as a manufacturer, a quantity of 5, and retired later than 1999?","SELECT SUM(introduced) FROM table_name_94 WHERE manufacturer = ""fokker"" AND quantity = 5 AND retired > 1999"
"CREATE TABLE table_27615445_1 (audition_venue VARCHAR, guest_fourth_judge VARCHAR)",Where was the audition venue where Peninha was the guest fourth judge?,"SELECT audition_venue FROM table_27615445_1 WHERE guest_fourth_judge = ""Peninha"""
"CREATE TABLE table_1602858_1 (runner_s__up VARCHAR, tournament VARCHAR)",Who was the runner-up in the Memorial Tournament?,"SELECT runner_s__up FROM table_1602858_1 WHERE tournament = ""Memorial tournament"""
"CREATE TABLE table_name_83 (bonus_points VARCHAR, drawn VARCHAR, points_against VARCHAR)",What is the number of bonus points when there are 2 drawn and the points against is 599?,"SELECT bonus_points FROM table_name_83 WHERE drawn = ""2"" AND points_against = ""599"""
"CREATE TABLE table_name_90 (game VARCHAR, genre VARCHAR)",Which game was a Platformer?,"SELECT game FROM table_name_90 WHERE genre = ""platformer"""
"CREATE TABLE table_name_33 (individual VARCHAR, event VARCHAR)",Who was the individual in the event of 1998 Pokljuka?,"SELECT individual FROM table_name_33 WHERE event = ""1998 pokljuka"""
