document,summary,id
"Greg Gianforte was accused of attacking a journalist from the UK's Guardian newspaper a day before his election.
The congressman said he was making a $50,000 (Â£38,000) donation to the Committee to Protect Journalists (CPJ).
The Guardian said the apology and donation was ""part of an agreement that settles any potential civil claims"".
A letter sent by Mr Gianforte to journalist Ben Jacobs offered a ""sincere apology"".
""My physical response to your legitimate question was unprofessional, unacceptable and unlawful,"" it said.
Mr Gianforte, who won the election, is still facing a criminal charge of misdemeanour assault, for which the maximum penalty is a $500 fine and a six-month jail term.
He ""grabbed Jacobs by the neck with both hands and slammed him into the ground"" after the reporter persisted in trying to question him about healthcare policy, another reporter from Fox News, who witnessed the confrontation, said.
""I watched in disbelief as Gianforte then began punching the reporter. As Gianforte moved on top of Jacobs, he began yelling something to the effect of, 'I'm sick and tired of this!'"" Alicia Acuna said.
Mr Jacob's glasses were broken during the incident.
Mr Gianforte initially claimed Mr Jacobs had grabbed his wrist, pulling them both to the ground. His spokesperson called it ""aggressive behaviour from a liberal journalist"".
But in his formal apology to Mr Jacobs on Wednesday, he said: ""Notwithstanding anyone's statements to the contrary, you did not initiate any physical contact with me, and I had no right to assault you. I am sorry for what I did and the unwanted notoriety this has created for you.
""I take full responsibility,"" he added.
The apology also detailed the donation to the CPJ, ""in the hope that perhaps some good can come of these events"".
The CPJ is an independent non-profit group that promotes press freedom globally.
In a tweet, the group said it had accepted the donation for what it called Mr Gianforte's ""unacceptable behaviour toward a journalist just doing his job"".
In the Guardian, Mr Jacobs said he had accepted the apology.
The newspaper had previously covered Mr Jacob's acquisition of a new pair of glasses from a London optician - noting that he donated the pair broken in the clash to Washington DC's press museum, the Newseum.",A Montana politician charged with assaulting a reporter has apologised and made a substantial donation to a press freedom charity.,40199559
"The banner which read ""supporting the London Olympics"" breached the rules set out by Games organisers Locog.
The rules state that only official sponsors are allowed to use logos and text defined in the organisation's  
          2012 UK statutory marketing rights.
The sign was being used to promote Olympic events in the city.
The torch relay is due to visit Derby on 29 June and Peter Allen, director of marketing for the university, said he was keen to support the event.
He said: ""As you can imagine it's difficult to do this without making reference in some way to the Olympics.""
But he added that the university was working closely with Locog and the city council to ensure it followed brand guidelines.
Several independent businesses in the East Midlands have also used Olympic logos in their shop windows.
Hobsons shoe shop on the Strand in Derby has put a display with five coloured rings in its window.
The shop's owner said he would keep the rings until he was told to take them down.
The owner of a neighbouring wool shop, John Sallis, had planned to create his own woollen Olympic rings to put on display.
He said: ""It's absolutely ridiculous - all I want to do is celebrate the Olympics by putting the five rings in the window to celebrate the Olympic runners coming past.""
One shop owner in Melton Mowbray, Leicestershire, was told to take down her plastic rings by Trading Standards.
Julie Swain, who runs a lingerie shop, said: ""We were hoping to have a competition for window designs for when the torch relay comes past. Obviously, I don't think we will be able to do that now.""
Keith Regan, from Leicestershire Trading Standards, said: ""The Olympic rings are very much protected.""
He added that people could get involved by using different types of displays  - as long as Olympic logos were not used.",The University of Derby has removed a sign supporting the London 2012 Olympics because it had not been officially approved.,17833838
"Stephen O'Brien urged the warring parties to allow the evacuation of hundreds of people who need urgent medical care.
Rebel-held front-line areas were subject to dozens of Russian air strikes overnight, observers said.
It allowed government troops to gain ground in the north of the city.
Hours later, the Syrian army offered rebel fighters safe passage if they evacuated eastern Aleppo.
""The army high command calls all armed fighters in the eastern neighbourhood of Aleppo to leave these neighbourhoods and let civilian residents live their normal lives,"" said a statement, carried by state news agency Sana on Sunday.
""The Russian and Syrian military leaderships will guarantee safe passage for the fighters and will give them aid as necessary.""
The government made a similar offer in July, but the rebels ignored it.
Syrian government forces have been trying for months to recapture the city's eastern half, which has long been a major opposition stronghold.
""I am deeply alarmed by the ferocious pummelling of eastern Aleppo city,"" Mr O'Brien, UN under-secretary for humanitarian affairs, said in a statement.
""Indiscriminate bombing and shelling continues in a shocking and unrelenting manner, killing and maiming civilians, subjecting them to a level of savagery that no human should have to endure.""
The healthcare system in eastern Aleppo had been ""all but obliterated"", he added.
On Saturday, air strikes hit Aleppo's main trauma M10 hospital for the third time in a matter of days, medical workers say.
""The hospital is now out of service completely,"" radiologist Mohammad Abu Rajab was quoted by Reuters as saying.
The Syrian Observatory for Human Rights, a UK-based opposition monitoring group, said dozens of Russian air strikes overnight had targeted front-line ""fighting zones"".
A correspondent with AFP news agency said the districts of Bustan al-Basha, Sakhur and Suleiman al-Halabi were all hit.
Observatory director Rami Abdel Rahman said the strikes had helped pro-government troops to advance in the north of the city, reaching the outskirts of al-Halaq district.
""Regime forces aims to control Bustan al-Basha and Sakhur districts, to tighten the zones controlled by rebels,"" he said.
Ismael Abdullah, a volunteer with Syrian civil defence group the White Helmets, told the BBC: ""The bombing started from the morning. There are air strikes in the al-Maja neighbourhood and rescue teams are there to get the people out from under the rubble.""
Russia and the US are at loggerheads over ending the conflict in Syria, both supporting opposing sides in the five-year civil war.
A US-Russia brokered cessation of hostilities recently collapsed and the US had threatened to end co-operation with the Kremlin unless Russia halts its military campaign.
For its part, Russia accuses the US of secretly supporting the powerful jihadist group Jabhat Fateh al-Sham (formerly known as al-Nusra Front) in its attempts to unseat President Bashar al-Assad.
It has emerged that Russian Foreign Minister Sergei Lavrov and his US counterpart John Kerry talked again on Saturday about the situation in Aleppo.
But there was still no sign of any diplomatic breakthrough that might end the bloodshed.
Once Syria's commercial and industrial hub, Aleppo has been divided roughly in two since 2012.
At least 250,000 people have been killed in the conflict, with the observatory estimating the true number to be about 430,000.
More than 4.8 million people have fled abroad, and an estimated 6.5 million others have been displaced within the country, the UN says.","Civilians in the rebel-held part of the Syrian city of Aleppo are enduring a ""living hell"", the UN humanitarian chief has said, as fighting rages on.",37534094
"Cameron McGeehan's deflected free-kick gave the hosts the lead, before two goals in less than three minutes from Marriott and Joe Pigott made it 3-0.
Jayden Stockley headed in Tom McCready's cross just after half-time to reduce the deficit for Exeter.
But Marriott fired in from the just inside the box to secure all three points for the Hatters.
Luton finished 11th, while the Grecians dropped to 14th after seeing their winless run extend to five games.",Two goals from Jack Marriott helped Luton finish the League Two season with a comfortable win over Exeter.,36176448
"Stevens, 39, has had the cue since becoming a professional in 1994 and it has helped him win the 2000 Masters and 2003 UK titles.
It was taken from his white BMW between 20:00 BST on Sunday and 08:30 on Monday while it was parked on Gilbert Crescent in Llanelli, Carmarthenshire.
Stevens has promised a reward for the safe return of his cue.
It was in a black case with the word MAXIMUS written in gold on the case.
Dyfed-Powys Police is investigating the theft.
Stevens, from Carmarthen, has twice been a World Championship finalist, losing to Mark Williams in 2000 and Shaun Murphy in 2005.",Double snooker World Championship finalist Matthew Stevens has had his cue stolen from his car.,39881634
"Disagreement over when the event was first held means the carnival's 50th anniversary will be marked again this year, as it was in 2014 and 2015.
The first parades in the 1960s had many similarities to those held now.
BBC News looks at how the event has developed into what organisers claim is the largest street party in Europe.
In 1959 a Caribbean style cabaret was held at St Pancras Town Hall to showcase the styles of carnival.
Other Caribbean events were held in London during the 1960s before a parade was organised in Notting Hill by a team led by social worker Rhuanne Laslett.
The organisers said the aim of the festival was to bring cultures together through arts and Caribbean steel bands.
By the 1970s the festival was attracting increasing numbers of performers each year to west London.
But racial tension simmered at some events with a riot following the carnival in 1976.
Static sound systems, like this one seen in 1981, have become a major part of the event. There are now 38 separate sound systems as well as the World Music Stage at Powis Square.
Relations between police and the organisers have improved over the years.
The carnival has always attracted a diverse crowd, like this punk in 1984.
Masquerade bands, sound systems, steel bands, calypso and soca music are all carnival mainstays.
The costume troupes who parade each year are known as Mas or Masquerade bands.
International stars have made appearances at the carnival, like Wyclef Jean in 2003.
Jouvert marks the start of the carnival on Sunday morning, where performers cover each other in paint and chocolate.
Veteran DJ Norman Jay, seen here in 2006, has become a mainstay at the carnival with his Good Times sound system.
As well the costumes, music and dancing, the carnival is well known for its street food...
...as well as the enormous queues for the carnival toilets.
Samba band Batala have made numerous appearances and will be returning again in 2016.
The Sunday parade is more child-friendly and proves popular with families.
Revellers will be hoping for an improvement in the weather compared to 2015.
This year's parades begin at 10:00 BST on Sunday and Monday.",Every year more than one million people descend on the streets of west London to enjoy two days of festivities at the Notting Hill Carnival.,37024463
"The alert was raised at about 13:10 BST after the man's kayak capsized on the River Wey at Guildford and he went into the water near a weir.
A police helicopter, firefighters and ambulance crews are all at the scene.
Ch Insp Dave Mason, of Surrey Police, said he had been seen in difficulty because of the strong current.
""We have a large number of officers out looking for this man alongside a number of fire crews,"" he said.
""The man was spotted in the water by several members of the public and was clearly in difficulty due to the extremely strong current.
""We are doing everything we can to try and find him.""
He urged anyone who sees the man not to go into the river, but to call 999 immediately.
The man went into the water near Guildford Borough Council's offices.
A flood alert is in place for the Upper River Wey, including the Guildford stretch.
The Environment Agency said river levels rose on Sunday and were expected to continue to rise on Monday.
An update on River Wey conditions from the National Trust on Monday said all river sections were in flood and dangerous to navigation.",Searches are under way for a kayaker who overturned and disappeared from view after getting into difficulty on a flooded river.,35911210
"More attacks like those in Mumbai in 2008 and Paris last November could be being planned, Rob Wainwright said.
He was speaking as Europol opened its new counter-terror centre in The Hague.
The unit will seek to improve information exchange and identify the links between terrorism and other areas of crime.
The need was highlighted in particular by the Paris attacks on 13 November that killed 130 people. On Sunday, the Islamic State group posted a video apparently showing nine of the suspected gunmen before they carried out those attacks.
What is Islamic State?
Who were the Paris attackers?
Paris attacks: Who were the victims?
Paris attacks: What happened on the night
The opening of the centre coincided with Europol's new report on IS.
The Paris attacks and the downing of a Russian airliner over Egypt last October ""suggest a shift in IS strategy towards going global"", it says.
""IS is preparing more terrorist attacks, including more 'Mumbai-style' attacks, to be executed in member states of the EU, and in France in particular,"" the report, Changes in modus operandi of Islamic State terrorist attacks, says.
""The attacks will be primarily directed at soft targets, because of the impact it generates.""
It suggests refugees fleeing Syria and other nations for Europe may be vulnerable to recruitment.
""Indeed there are reports that refugee centres are being specifically targeted by Islamic extremist recruiters,"" the report says.
Other points in the report:
Mr Wainwright said more than 5,000 EU nationals had been radicalised fighting abroad and many had returned home.
Europe's leaders, he said, had decided to establish ""for the first time a dedicated pan-European operational centre to combat terrorism"".
Mr Wainwright said the centre's priority would be to improve information exchange between EU members.
It will also focus on links to other criminal sectors.
Mr Wainwright said: ""We know that many terrorist suspects, such as those responsible for the terrible attacks in Paris, have a criminal background, are linked with the drugs sector, firearms and other criminal sectors.
""Critical to Europol, therefore, functioning as the EU's information hub on countering crime and terrorism will be to uncover those links.""
The new unit will have between 40 and 50 experts in counterterrorism.
Europol has in total about 800 staff at its headquarters in The Hague. They work with law enforcement agencies in the 28 member states and in other non-EU partner nations to combat serious crime.","Self-styled Islamic State has developed a new ""special forces"" style of combat to target Europe, the director of the EU's police agency Europol says.",35401514
"The pygmy marmosets at Skansen zoo in Stockholm had been destined for a Riyadh zoo.
""They didn't want the monkeys anymore because of the political situation,"" said Skansen zoo boss Jonas Wahlstrom.
Last month the Saudi ambassador to Sweden was recalled, after Sweden ended an arms deal in a human rights dispute.
Weighing just over 100 grams (3.5 oz) each pygmy marmosets are the smallest primates in the world.
""It's a little comical. I'll just have to wait until they grant visas to Swedish businessmen again. Maybe monkeys will get visas then too,"" said Mr Wahlstrom, quoted by Radio Sweden.
Last month Saudi Arabia attacked Sweden's Foreign Minister Margot Wallstrom for an ""offensive"" speech which it called ""blatant interference"" in its internal affairs.
Saudi Arabia prevented her from reading the speech at a meeting of the Arab League in Cairo.
In the speech, Ms Wallstrom called for ""freedom of association, assembly, religion and expression"" and for Arab nations to ""focus attention on women's rights, women's representation and their adequate resources"".","Saudi Arabia has refused to accept four tiny Amazonian monkeys from a Swedish zoo because of a diplomatic row, Swedish media report.",32216741
"The blast led to the partial collapse of the five-floor building in Mansoura, 110km (70 miles) north of Cairo.
Interim Prime Minister Hazem Beblawi called it ""an act of terrorism"".
There have been a series of attacks on the security forces claimed by Islamist militants since the military deposed President Mohammed Morsi in July.
No group has so far said it was behind Tuesday's attack, but security officials said it bore the hallmarks of the Sinai-based Salafist-jihadist group, Ansar Beit al-Maqdis.
The military-backed interim government said it was an attempt to scare people ahead of next month's referendum on a new constitution - but that the violence would not disrupt voting.
Although Mr Beblawi did not directly blame the Brotherhood, one of his spokesmen said it had showed ""its ugly face as a terrorist organisation, shedding blood and messing with Egypt's security"".
At a funeral for the victims, who included at least 12 policemen, hundreds of people chanted: ""The people want to execute the Brotherhood"".
Some in the crowd held up posters reading ""no to terrorist groups"" and set fire to the car of a man who flashed a pro-Morsi symbol, while others attacked houses belonging to a leading member of the Brotherhood, according to the Associated Press.
The Brotherhood condemned the bombing, describing it as a ""direct attack on the unity of the Egyptian people"". It also accused the government of ""exploiting"" the violence to target its members and ""create further violence, chaos and instability"".
The explosion shook the building at about 01:10 (23:10 GMT on Monday).
Media reports say the provincial security chief was among those hurt. Officials said most of the casualties were police officers.
The blast shattered windows of nearby buildings and its impact was felt about 20km (12 miles) away, the reports say.
Mansoura - a city of about 480,000 people - is the capital of Dakahliya province in the Nile Delta region.
Since the removal of Mr Morsi - Egypt's first democratically elected president - his supporters have been staging mass rallies demanding his immediate release.
More than 2,000 Muslim Brotherhood members have been arrested, and 450 of them on Monday went on hunger strike in protest at their ""inhumane treatment"".
Mr Morsi is now facing three separate criminal trials relating to his time in office.
The first trial opened on 4 November, but has been adjourned until 8 January.","At least 15 people have been killed and more than 100 others injured in a car bomb attack on a security building in northern Egypt, officials say.",25501732
