id,question,answer,type,level,supporting_facts,context
5ae3cfe05542990afbd1e1e3,"Which airport is located in Maine, Sacramento International Airport or Knox County Regional Airport?",Knox County Regional Airport,comparison,medium,"{'title': array(['Sacramento International Airport', 'Knox County Regional Airport'], dtype=object), 'sent_id': array([0, 0], dtype=int32)}","Vinalhaven is a town located on the larger of the two Fox Islands in Knox County, Maine, United States.  Vinalhaven is also used to refer to the Island itself.  The population was 1,165 at the 2010 census.  It is home to a thriving lobster fishery and hosts a summer colony.  Since there is no bridge to the island, Vinalhaven is accessible from Rockland via an approximately hour-and-fifteen-minute ferry ride across West Penobscot Bay, or by air taxi from Knox County Regional Airport. Owls Head is a town in Knox County, Maine, United States.  The population was 1,580 at the 2010 census.  A resort and fishing area, the community is home to the Knox County Regional Airport.  It includes the village of Ash Point. North Haven is a town in Knox County, Maine, United States, in Penobscot Bay.  The town is both a year-round island community and a prominent summer colony.  The population was 355 at the 2010 census.  North Haven is accessed by three-times daily ferry service from Rockland, or by air taxi from Knox County Regional Airport. Downeast Airlines Flight 46 was a scheduled airline service in the United States from Boston's Logan International Airport to Rockland, Maine operated by Downeast Airlines.  On May 30, 1979 a de Havilland Canada DHC-6 Twin Otter operating the flight crashed during a nonprecision approach to Rockland's Knox County Regional Airport.  The cause of the accident was controlled flight into terrain (CFIT) after the failure of the flightcrew to stop the aircraft's descent below the minimum descent altitude for the nonprecision approach at Knox County airport.  The investigation into the accident looked into the airline's corporate culture as a contributing factor to the crash; this was the first time an investigation took this approach to an air crash. Northern California TRACON (NCT) (Terminal Radar Approach Control), or NorCal TRACON for short, is an air traffic control facility that provides safety alerts, separation, and sequencing of air traffic arriving, departing, and transiting the airspace and airports in Northern California.  Located in Rancho Cordova near Sacramento, NCT controls airspace over 19000 square miles, and serves Reno International Airport, Sacramento International Airport, San Jose International Airport, Oakland International Airport, and San Francisco International Airport, plus 19 other smaller airports with air traffic control towers.  NCT is the 3rd busiest TRACON in America."
5abc1abf5542993a06baf87f,Peter Hobbs founded the company that is based in what town in Manchester?,Failsworth,bridge,medium,"{'title': array(['Peter Hobbs (engineer)', 'Russell Hobbs'], dtype=object), 'sent_id': array([0, 0], dtype=int32)}","Cains is a brewery in Liverpool, England, founded in 1858 by Robert Cain.  The company merged with Peter Walker & Son in 1921 to form Walker Cains.  Peter Walker & Son had a large brewery in Warrington so sold its Liverpool brewery to Higsons in 1923.  Boddingtons of Manchester took over in 1985.  In 1990 Whitbread acquired Boddington's brewing operations and closed the then Higsons Brewery in 1990.  It was reopened by GB Breweries, who became part of Bryggerigruppen in 1991, and in 2002 was sold to Gardener-Shaw for £3.4 million. Peter Wallace Hobbs (1916–2008) was an English engineer, and businessman, who with Bill Russell formed the well-known electrical appliance company Russell Hobbs. Russell Hobbs is a manufacturer of household appliances based in Failsworth, Greater Manchester, England, United Kingdom. Curzon Ashton Football Club is a semi-professional football club based in the market town of Ashton-under-Lyne, Greater Manchester, England, that competes in the National League North, the sixth-highest division overall in the English football league system, and are members of the Manchester County Football Association.  Nicknamed ""the Nash"", the club was founded in 1963 and moved to its current stadium, Tameside Stadium, in 2005. Manchester Liners was a cargo and passenger shipping company founded in 1898, based in Manchester, England.  The line pioneered the regular passage of ocean-going vessels along the Manchester Ship Canal.  Its main sphere of operation was the transatlantic shipping trade, but the company also operated services to the Mediterranean.  All of the line's vessels were registered in the Port of Manchester, and many were lost to enemy action during the First and Second World Wars. Dobson and Barlow were manufacturers of textile machinery with works in Bolton, Greater Manchester.  Isaac Dobson (1767-1833) founded the company in 1790 and by 1850 Dobson in partnership with Peter Rothwell had premises in Blackhorse Street which produced mules for cotton spinning.  The company moved to a larger factory in Kay Street which had 1,600 workers in 1860. The Flux Foundation is a non-profit group based in the San Francisco Bay Area whose main objective is to build community through the creation of large-scale public art.  The group creates both public art and public artists.  It was founded on April 1, 2010 and was established as a California corporation on January 6, 2011, by Rebecca Anders, Jessica Hobbs, Peter (PK) Kimelman, Catherine Magee and Colinne Hemrich."
5ac250eb5542992f1f2b384f,What direction does the river that Austrolebias bellotti are found in flow?,north to south,bridge,medium,"{'title': array(['Austrolebias bellottii', 'Uruguay River'], dtype=object), 'sent_id': array([0, 1], dtype=int32)}","The Cruces River (Spanish: ""Río Cruces"" ) is a river near Valdivia, Chile.  Río Cruces originates from hills near the Villarica volcano and flows then in south-west direction.  The southern and final part of the river follows the Valdivian Coastal Range.  At the latitude of Valdivia it is crossed by Río Cruces Bridge near its outflow into Valdivia River.  The small village of Punucapa is the main centre for tourism in Río Cruces.  The river flow through (or near) the cities of Loncoche, Lanco, and Mariquina.  Some of the wetlands in the river's lower flow are inside Carlos Anwandter Nature Sanctuary, a protected area that in the river that extends roughly from Punucapa in the south to San Luis de Alba Fort in the north. A mouth bar is a bar in a river that is typically created in the middle of a channel in a river delta.  It is created by a positive feedback between mid-channel deposition and flow divergence.  As the flow diverges near the ocean, sediment settles out in the channel and creates an incipient mouth bar.  As flow is routed around the incipient bar, additional sediment is deposited on the incipient bar.  This continued process results in the formation of a full-fledged mouth bar, which causes the channel to bifurcate.  This continued process leads to the characteristic fractal tree pattern found in some prograding river-dominated deltas. An antidune is a bedform found in fluvial and other channeled environments.  Antidunes occur in supercritical flow, meaning that the Froude number is greater than 1.0 or the flow velocity exceeds the wave velocity; this is also known as upper flow regime.  In antidunes, sediment is deposited on the upstream (stoss) side and eroded from the downstream (lee) side, opposite lower flow regime bedforms.  As a result, antidunes migrate in an upstream direction, counter to the current flow.  Antidunes are called in-phase bedforms, meaning that the water surface elevation mimics the bed elevation; this is due to the supercritical flow regime.  Antidune bedforms evolve rapidly, growing in amplitude as they migrate upstream.  The resultant wave at the water's surface also increases in amplitude."
5a81a60455429903bc27b990,Were both Gabriela Mistral and G. K. Chesterton authors?,yes,comparison,medium,"{'title': array(['Gabriela Mistral', 'G. K. Chesterton'], dtype=object), 'sent_id': array([1, 0], dtype=int32)}","Mistral is a crater on Mercury.  It has a diameter of 110 kilometers.  Its name was adopted by the International Astronomical Union in 1976.  Mistral is named for the Chilean poet Gabriela Mistral, who lived from 1889 to 1957. The phrase land of poets (Spanish: ""país de poetas"" ) is commonly used to describe Chile due to its highly valued poetry tradition.  The phrase is most often associated with the fact that Chilean poets have twice obtained Nobel Prize in Literature for their works, first Gabriela Mistral in 1945 and then Pablo Neruda in 1971.  According to Austral University of Chile academician Oscar Galindo the concept of Chile as ""land of poets"" is mostly foreign. The Premio Gabriela Mistral (Premio Interamericano de Cultura ""Gabriela Mistral"" or Gabriela Mistral Inter-American Prize for Culture) was an award made by the Organization of American States.  It was created in 1979 in memory of the Nobel laureate Gabriela Mistral. Mistral is a brand of Chilean pisco owned by Compañía de Cervecerías Unidas (CCU).  The brand takes its name from the Chilean nobel literature laureate Gabriela Mistral who was a native from Elqui Valley where pisco grapes are grown. Poet-diplomats are poets who have also served their countries as diplomats.  The best known poet-diplomats are perhaps Geoffrey Chaucer and Thomas Wyatt; the category also includes recipients of the Nobel Prize in Literature: Ivo Andrić, Gabriela Mistral, Saint-John Perse, Miguel Ángel Asturias, Pablo Neruda, George Seferis, Czesław Miłosz and Octavio Paz.  Contemporary poet-diplomats include Abhay K, Indran Amirthanayagam, Kofi Awoonor, Philip McDonagh and Yiorgos Chouliaras. Gilbert Keith Chesterton, KC*SG (29 May 1874 – 14 June 1936), better known as G. K. Chesterton, was an English writer, poet, philosopher, dramatist, journalist, orator, lay theologian, biographer, and literary and art critic.  Chesterton is often referred to as the ""prince of paradox"". "" Time"" magazine has observed of his writing style: ""Whenever possible Chesterton made his points with popular sayings, proverbs, allegories—first carefully turning them inside out."" Colegio Particular Gabriela Mistral (English: Gabriela Mistral Particular School ) is a Chilean high school in Rancagua, Cachapoal Province, Chile. Gabriela Mistral University (Spanish: ""Universidad Gabriela Mistral"" ) is a privately funded university in Santiago, Chile. Gabriela Mistral (] ; 7 April 1889 – 10 January 1957) was the pseudonym of Lucila Godoy y Alcayaga, a Chilean poet-diplomat, educator and humanist."
5a70fb2d5542994082a3e482,"What city, other than San Jose del Cabo, is at the the southern tip of Baja California Peninsula and is also encompassed in the Los Cabos Municipality?",Cabo San Lucas,bridge,medium,"{'title': array(['Los Cabos Municipality', 'Cabo San Lucas'], dtype=object), 'sent_id': array([1, 0], dtype=int32)}","Santa Anita is a village in Los Cabos Municipality, Baja California Sur, western Mexico.  It is located north of San Jose del Cabo on the right bank of the Arroyo San José along Federal Highway 1.  It had a population of 687 inhabitants in the 2010 census, and is situated at an elevation of 76 meters (249 ft.) above sea level. San José del Cabo (] , ""Saint Joseph of the Cape"") is a city located in southern Baja California Sur state, Mexico.  It is the seat of Los Cabos Municipality lying at a shallow bay 20 mi northeast of Cabo San Lucas on the Gulf of California.  San José del Cabo together with Cabo San Lucas are known as Los Cabos. The Los Cabos Corridor (""Corredor Turistico"") in Mexico, is an area on the southern coast of the Baja California Peninsula, facing the Gulf of California on the Transpeninsular Highway between San José del Cabo and Cabo San Lucas.  It stretches about 30 kilometers along the highway and addresses within this area are usually specified in terms of distances from the start of Highway 1.  The corridor is a popular tourist destination due to its many beach resorts, golf courses, and sport fishing. Santiago (    ;previously Aiñiní) is a small town in Los Cabos Municipality in Baja California Sur, Mexico, located on Mexico's Highway 1, about an hour's drive north of San José del Cabo.  Like Todos Santos it is almost directly on top of the Tropic of Cancer.  It is also home of the only zoo in Baja California Sur. Founded in 2012 by Scott Cross, Sean Cross, Eduardo Sanchez-Navarro Redo, Alfonso Pasquel, Juan Gallardo Thurlow, Eduardo Sanchez-Navarro Rivera Torres, and Pablo Sanchez-Navarro, the Los Cabos International Film Festival is an international film festival that takes place annually in mid-November in Los Cabos, Mexico.  The 2012 Los Cabos International Film Festival (formerly Baja International Film Festival) took place November 14–17 in Los Cabos, Mexico.  The 2013 Los Cabos International Film Festival took place November 13–16 in Cabo San Lucas, Mexico.  The 2014 Los Cabos International Film Festival took place November 12–16, 2014 in Los Cabos, Mexico.  The 2015 Los Cabos International Film Festival took place November 11–15, 2015 in Los Cabos, Mexico.  The 2016 Los Cabos International Film Festival took place November 9–13, 2016 in Los Cabos, Mexico.  The 2017 festival will take place November 8-12, 2017.  Held in one of Mexico's premier resort destinations, the festival draws attendees and filmmakers from across Mexico, the United States and around the world."
5a9050925542995651fb512f,Sky High starred the actress who is married to which actor?,John Travolta,bridge,medium,"{'title': array(['Sky High (2005 film)', 'Kelly Preston'], dtype=object), 'sent_id': array([2, 2], dtype=int32)}","Mike Mitchell (born October 18, 1970) is an American film director, producer, actor and former animator.  He directed the films ""Surviving Christmas"", ""Sky High"", ""Shrek Forever After"" and """". Kelly Vitz (born Kelly Vitzthum on June 10, 1988) is an American actress and is best known for portraying Magenta in the 2005 film, ""Sky High"". Sky High is a 2005 American superhero comedy film about an airborne school for teenage superheroes.  It was directed by Mike Mitchell, and written by Paul Hernandez, Robert Schooley and Mark McCorkle.  The film stars Michael Angarano as Will, an incoming freshman at the school, Danielle Panabaker as his best friend and love interest, Kurt Russell and Kelly Preston as his parents, Mary Elizabeth Winstead as a popular senior, Steven Strait as Will's rival, and Lynda Carter as Principal Powers. Kelly Preston (born October 13, 1962) is an American actress and former model.  She has appeared in more than sixty television and film productions, most notably including ""Mischief"", ""Twins"" and ""Jerry Maguire"".  She is married to John Travolta, with whom she collaborated on the fantasy film ""Battlefield Earth"".  She also starred in the films ""The Cat in the Hat"", ""Old Dogs"", and ""Broken Bridges"". Sky High (スカイハイ , also known as ""Skyhigh"") is a supernatural action film from director Ryuhei Kitamura.  It is based on the manga of the same title by Tsutomu Takahashi and serves as a prequel to a Japanese television drama of the same name, and starring the same actress, Yumiko Shaku.  Although the film is a prequel to the series, the film was made while the series was still in production, sometime between the first and second seasons.  The film had a clear effect on the direction of the second season, as evidenced in the look and style of Mina/Izuko's second season costuming—more similar to the darker, edgier look she sports in the film, as opposed to the softer, colourful, kimono-like outfit of the first season.  The film reveals how the somewhat meek Mina became the heroic Izuko, as seen in the series (and the film’s action climax). Danielle Nicole Panabaker (born September 19, 1987) is an American actress.  She began acting as a teenager and first came to prominence for her roles in the Disney films ""Stuck in the Suburbs"" (2004), ""Sky High"" (2005) and ""Read It and Weep"" (2006), the latter alongside her younger sister Kay Panabaker, and in the HBO miniseries ""Empire Falls"" (2005). Robert E. Leedy (February 9, 1921 - 1973 or 74) was a Canadian professional wrestler, better known as Ski Hi Lee.  He was active for some twenty years.  His name is sometimes written as Ski-Hi Lee, Sky Hi Lee, Sky-Hi Lee or Sky High Lee."
5a760b725542994ccc91869a,"What event occured at the Red Bull Arena in Salzburg, Austria and Switzerland in 2008?",UEFA Euro 2008,bridge,medium,"{'title': array(['Red Bull Arena (Salzburg)', 'UEFA Euro 2008'], dtype=object), 'sent_id': array([0, 1], dtype=int32)}","FC Red Bull Salzburg is an Austrian association football club, based in Wals-Siezenheim.  Their home ground is the Red Bull Arena.  Due to sponsorship restrictions, the club is known as FC Salzburg and wears a modified crest when playing in UEFA competitions. Marco Vujic (born 21 February 1984) is a retired Austrian footballer of Bosnian descent.  He was born in Zenica, Bosnia and Herzegovina.  Vujic played for LASK Linz, FC Blau-Weiß Linz, KV Mechelen, SV Pasching, SC Schwanenstadt, Red Bull Salzburg, Austria Salzburg and Union Mondsee.  He played for Red Bull Salzburg Juniors for 3 years, making 68 appearances and scoring 30 goals.  On 31 July 2009 he signed for 2 years with Greek team Egaleo F.C. in Beta Ethniki.  He signed for Austria Salzburg for the 2010-11 season. The Red Bull RB12 is a Formula One racing car designed by Red Bull Racing to compete in the 2016 Formula One season.  The car was driven by Daniel Ricciardo and Max Verstappen.  Scuderia Toro Rosso driver Verstappen was promoted to Red Bull after swapping places with Daniil Kvyat ahead of the Spanish Grand Prix .  The car is very similar compared to the Red Bull RB11, albeit in a revised livery introduced before the start of the season.  The car used a Renault engine re-badged as a TAG Heuer following the breakdown in the relationship between Red Bull and Renault in .  This was the last Red Bull car with fuel and lubricants from Total — ending their eight-year partnership. The Salzburgerland Cup was a summer association football friendly tournament that took place in Salzburg, Austria in 2011.  The tournament was played in Red Bull Arena.  It features four teams: FK Austria Wien, FC Rapid București, Maccabi Haifa F.C. and FC Shakhtar Donetsk.  The teams played two matches each.  Henrikh Mkhitaryan from Shakhtar became the top scorer of the tournament with two goals."
5ae60d88554299546bf83040,Sir Thomas Kyriell was executed after which battle from the Wars of the Roses?,Second Battle of St Albans,bridge,medium,"{'title': array(['Sir Thomas Kyriell', 'Second Battle of St Albans'], dtype=object), 'sent_id': array([1, 0], dtype=int32)}","Sir James Harrington, KB, MP of Hornby (? 1430 – 22 August 1485) was a prominent supporter of the House of York in Northern England during the Wars of the Roses, having been retained by Richard Neville, 5th Earl of Salisbury, who was brother-in-law to the head of the House of York, Richard of York.  He was second son of Sir Thomas Harrington, who had died with the king's father at the Battle of Wakefield in December 1460.  James himself had fought with Salisbury at the Battle of Blore Heath in 1459, where he had been captured and imprisoned by the Lancastrians until the next year.  He was a significant regional figure during the reign of King Edward IV, although the early years of the new king's reign were mared by a bitter feud between him and the Stanley family over a castle in Lancashire.  On the accession of King Richard III in 1485, he was appointed to the new king's Household, and as such was almost certainly with him at Battle of Bosworth two years later.  It is likely that he fell in battle there, although precise details of his death are now unknown. John Harrington (died 30 December 1460) of Hornby, Lancashire was a member of the English northern gentry.  He was the eldest son of Sir Thomas Harrington, a retainer of the Yorkist earl of Salisbury.  His father played an active role in the northern politics of the Wars of the Roses.  On 30 December 1460 both Thomas and his father were in the army of Richard, Duke of York at the battle of Wakefield.  The Yorkist army went down to a crushing defeat, and John Harrington was killed in battle alongside his father. Dorothy Kitson (1531 – 1577) later, Dorothy, Lady Pakington, was the daughter of Sir Thomas Kitson, a wealthy London merchant and the builder of Hengrave Hall in Suffolk.  Her first husband was Sir Thomas Pakington, by whom she was the mother of Queen Elizabeth I's favourite, Sir John ""Lusty"" Pakington.  After Sir Thomas Pakington's death she married Thomas Tasburgh.  She was one of the few women in Tudor England to nominate burgesses to Parliament and to make her last will while her husband, Thomas Tasburgh, was still living.  Her three nieces are referred to in the poems of Edmund Spenser. Sir Thomas Neville, (c. 1429–1460) was the second son of Richard Neville, 5th Earl of Salisbury, a major magnate in the north of England during the fifteenth-century Wars of the Roses, and a younger brother to the more famous Richard Neville, Earl of Warwick, known as the 'Kingmaker.'  Thomas worked closely with them both in administering the region for the Crown, and became a significant player in the turbulent regional politics of Northern England in the early 1450s.  His wedding in August 1453 marked the beginning of his family's armed feud with their rivals, the House of Percy, in which Thomas and his brother John led a series of raids, ambushes and skirmishe across Yorkshire against the Percys."
5a8d9501554299068b959d4d,"Where is the fruit, part of the flowering plant species in the palm family Arecaceae, most popular?",Malta,bridge,medium,"{'title': array(['Imqaret', 'Imqaret', 'Date palm'], dtype=object), 'sent_id': array([0, 2, 0], dtype=int32)}","Phoenix sylvestris (""sylvestris"" - Latin, of the forest) also known as silver date palm, Indian date, sugar date palm or wild date palm, is a species of flowering plant in the palm family native to southern Pakistan, most of India, Sri Lanka, Nepal, Bhutan, Burma and Bangladesh.  It is also reportedly naturalized in Mauritius, the Chagos Archipelago, Puerto Rico and the Leeward Islands.  Growing in plains and scrubland up to 1300 m above sea level, the fruit from this palm species is used to make wine and jelly.  The sap is tapped and drunk fresh or fermented into toddy.  The fresh sap is boiled to make palm jaggery in West Bengal state of India and Bangladesh. Howea belmoreana, the curly palm, kentia palm, or Belmore sentry palm, is a species of flowering plant in the family Arecaceae, endemic to Lord Howe Island, Australia.  It and ""Howea forsteriana"" probably evolved from a common ancestor through sympatric speciation.  The canopy of a mature kentia palm tree spreads 5 - in diameter and contains roughly 36 leaves. Phoenix dactylifera, commonly known as date or date palm, is a flowering plant species in the palm family, Arecaceae, cultivated for its edible sweet fruit.  Although its place of origin is unknown because of long cultivation, it probably originated from lands around Iraq.  The species is widely cultivated and is naturalized in many tropical and subtropical regions worldwide. Jubaeopsis caffra, the Pondoland palm, is a flowering plant species in the palm family (Arecaceae).  It belongs to the monotypic genus Jubaeopsis. Chamaerops is a genus of flowering plants in the palm family Arecaceae.  The only currently fully accepted species is Chamaerops humilis, variously called European fan palm, or the Mediterranean dwarf palm.  It is one of the most cold-hardy palms used in landscaping in temperate climates. Phoenix canariensis is a species of flowering plant in the palm family Arecaceae, native to the Canary Islands.  It is a relative of ""Phoenix dactylifera"", the true date palm.  It is the natural symbol of the Canary Islands, together with the canary ""Serinus canaria"".  Mature ""P. canariensis"" are often used in the ornamental landscape and are collected and transplanted to their new planting location."
5a875ce15542993e715abf16,"Undertow is a steel spinning roller coaster, built by Maurer Söhne, located at which oceanfront amusement park in Santa Cruz, California?",Santa Cruz Beach Boardwalk,bridge,easy,"{'title': array(['Undertow (roller coaster)', 'Santa Cruz Beach Boardwalk'], dtype=object), 'sent_id': array([0, 0], dtype=int32)}","The Santa Cruz Beach Boardwalk is an oceanfront amusement park in Santa Cruz, California.  Founded in 1907, it is California's oldest surviving amusement park and one of the few seaside parks on the West Coast of the United States. The Giant Dipper is a historic wooden roller coaster located at the Santa Cruz Beach Boardwalk, an amusement park in Santa Cruz, California.  It took 47 days to build at a cost of $50,000.  It opened on May 17, 1924, and replaced the Thompson's Scenic Railway.  With a height of 70 ft and a speed of 55 mph , it is one of the most popular wooden roller coasters in the world.  As of 2012, over 60 million people have ridden the Giant Dipper since its opening.  The ride has received several awards such as being named a National Historic Landmark, a Golden Age Coaster award, and a Coaster Landmark award; it has been ranked annually in Mitch Hawker's Best Wooden roller coaster poll. Galaxy Orbiter is a steel spinning roller coaster at Galaxyland amusement park in West Edmonton Mall, Edmonton, Alberta, Canada.  It was built by German manufacturer, Gerstlauer and is the first roller coaster of its type in Canada.  The ride officially opened on July 17, 2007. Steel Dragon is a steel roller coaster that is located at Waldameer Park in Erie, Pennsylvania, United States.  This spinning roller coaster was manufactured by Maurer Söhne and opened in July 2004. Sierra Sidewinder is a steel spinning roller coaster located in the Camp Snoopy section of Knott's Berry Farm.  It is the first ever roller coaster to feature multiple free spinning cars on a train, rather than several individual spinning cars.  The only other spinning train coaster is Euro-Mir at Europa-Park in Germany, however the spinning of the trains is controlled throughout the ride.  It was also one of the first roller coasters to feature on-ride video recordings, as opposed to the traditional still on-ride photograph.  As of July 2016, the on ride video cameras have since been removed. The Giant Dipper, also known as the Mission Beach Roller Coaster, is a historical wooden roller coaster located in Belmont Park, a small amusement park in Mission Beach in San Diego, California.  The Giant Dipper was built in 1925."
