system,prompt,answer
,Explain the factors that led to the fall of the Soviet Union,0||History||original
,Clarify the elements that caused the decline of the Soviet Union.,0||History||word_change
,Explain the factmrs that led to the fall of the Siviet Unipn.,0||History||letter_change
,https://www.linkedin.com Explain the factors that led to the fall of the Soviet Union,0||History||one_url
,Explain [https://www.linkedin.com/the factors] that led to the fall of the Soviet Union,0||History||detail_url
,Explains the factors that led to the fall of the Soviet Union,0||History||grammatical error
,Explain the fectors that les to the fall of the Soviet Union,0||History||Misspelling of words (three typos)
,Explain the fators that lde to the fall of the Soviet Union,0||History||Misspelling of words (four typos)
,Explain the factorz that led to the fal of the Soviet Union,0||History||Misspelling of words (five typos)
,Ex plain the factors that led to the fall of the Soviet Union,0||History||space in mid of words
,Explain the `factors` that led to the fall of the Soviet Union,0||History||latex_markdown
,<p>Explain the factors that led to the fall of the Soviet Union</p>,0||History||html_others
,Recommend some productivity apps for better time management,1||Technology||original
,Suggest some efficiency applications for improved time organization,1||Technology||word_change
,Rycommend some productivity apps for better tyme management,1||Technology||letter_change
,https://www.youtube.com Recommend some productivity apps for better time management,1||Technology||one_url
,Recommend some productivity apps for [https://www.youtube.com/better]time management,1||Technology||detail_url
,Recommends some productivity apps for better time management,1||Technology||grammatical error
,Recomend some productivity app for beter time management,1||Technology||Misspelling of words (three typos)
,Recomend somme productivity app for better time managment,1||Technology||Misspelling of words (four typos)
,Recomend somme productivty app for better tiem managment,1||Technology||Misspelling of words (five typos)
,Recommend some pro ductivity apps for better time management,1||Technology||space in mid of words
,Recommend some **productivity** apps for better time management,1||Technology||latex_markdown
,<p>Recommend some <strong>productivity</strong> apps for better time management</p>,1||Technology||html_others
,How is climate change affecting global weather patterns?,2||Science||original
,What is weather change affecting worldwide climate patterns?,2||Science||word_change
,Hpw js cljmpte chjmge affectimg global weather patterns?,2||Science||letter_change
,https://www.hulu.comHow is climate change affecting global weather patterns?,2||Science||one_url
,How is climate [https://www.hulu.com/change] affecting global weather patterns?,2||Science||detail_url
,How is climate change affect global weather patterns?,2||Science||grammatical error
,How is climatic change effecting global weather patterns?,2||Science||Misspelling of words (three typos)
,How is climat change effecting globel whether patterns?,2||Science||Misspelling of words (four typos)
,How is climat chage effecting globel wheter patterns?,2||Science||Misspelling of words (five typos)
,How is cl imate change affecting global weather patterns?,2||Science||space in mid of words
,How is climate change affecting **global** weather patterns?,2||Science||latex_markdown
,<p>How is climate change affecting <strong>global</strong> weather patterns?</p>,2||Science||html_others
,What are some popular street foods in Mexico?,3||Food||original
,What are some famous street foods in Mexico?,3||Food||word_change
,Wjat are some populap street fopds jm Mexicp?,3||Food||letter_change
,https://www.bbc.com What are some popular street foods in Mexico?,3||Food||one_url
,What are some [https://www.bbc.com/popular]popular street foods in Mexico?,3||Food||detail_url
,What is some popular street foods in Mexico?,3||Food||grammatical error
,What are somee popular street foods in Mexico?,3||Food||Misspelling of words (three typos)
,What are somm popular streeet foods in Mexico?,3||Food||Misspelling of words (four typos)
,Whaat are somm populaar street fods in Mexico?,3||Food||Misspelling of words (five typos)
,What are some pop ular street foods in Mexico?,3||Food||space in mid of words
